trx_id,trx_date,merchant_id,trx_status,total_items,total_revenue,total_revenue_after_discount
22746,2020-01-26,A01CT153,Successful,1,111,111
5612,2020-01-05,A01CT136,Failed,2,120,0
5627,2020-01-05,A01CT136,Failed,2,120,0
21477,2020-01-25,A02CT751,Failed,1,120,120
3319,2020-01-03,A02CT409,Failed,1,123,123
3384,2020-01-03,A02CT409,Failed,1,123,123
3391,2020-01-03,A02CT409,Failed,1,123,123
22143,2020-01-26,A01CT383,Successful,5,126,126
13274,2020-01-14,A02CT622,Successful,1,1000,1000
14761,2020-01-15,A01CT849,Successful,1,1000,1000
28746,2020-02-02,A02CT519,Failed,1,1000,1000
33000,2020-02-07,A02CT519,Failed,1,1000,1000
39757,2020-02-17,A03CT9,Failed,1,1000,1000
45704,2020-02-25,A01CT835,Successful,5,1000,1000
22275,2020-01-26,A02CT865,Successful,1,2000,2000
38258,2020-02-15,A03CT130,Failed,1,2000,2000
38260,2020-02-15,A03CT130,Failed,1,2000,2000
36891,2020-02-13,A03CT130,Failed,1,2500,2500
47134,2020-02-27,A01CT780,Successful,1,2500,2500
5516,2020-01-05,A01CT296,Failed,1,3000,3000
16887,2020-01-18,A01CT783,Successful,1,3000,3000
34760,2020-02-10,A03CT273,Failed,1,3000,3000
46968,2020-02-26,A03CT6,Failed,1,3000,3000
46979,2020-02-26,A03CT6,Failed,1,3000,3000
22656,2020-01-26,A03CT4,Failed,1,3500,3500
7417,2020-01-07,A01CT347,Failed,2,4000,4000
11324,2020-01-12,A01CT347,Failed,2,4000,4000
25861,2020-01-30,A03CT992,Failed,1,4000,4000
25862,2020-01-30,A03CT992,Failed,1,4000,4000
32835,2020-02-07,A03CT130,Failed,2,4000,4000
32836,2020-02-07,A03CT130,Failed,2,4000,4000
36876,2020-02-12,A01CT830,Failed,1,4000,4000
37451,2020-02-13,A03CT31,Failed,1,4000,4000
42573,2020-02-20,A03CT31,Successful,1,4000,4000
43274,2020-02-21,A01CT817,Failed,1,4000,4000
5673,2020-01-05,A03CT130,Failed,2,4500,4500
388,2020-01-01,A02CT137,Failed,1,5000,5000
673,2020-01-01,A02CT739,Successful,1,5000,5000
1223,2020-01-02,A03CT111,Successful,1,5000,5000
3652,2020-01-04,A01CT189,Successful,1,5000,5000
4142,2020-01-04,A01CT377,Failed,1,5000,3000
4143,2020-01-04,A01CT377,Failed,1,5000,3000
6955,2020-01-07,A01CT245,Failed,1,5000,5000
7203,2020-01-07,A01CT189,Successful,1,5000,5000
7223,2020-01-07,A01CT189,Failed,1,5000,5000
7225,2020-01-07,A01CT189,Failed,1,5000,5000
7227,2020-01-07,A01CT189,Successful,1,5000,5000
7247,2020-01-07,A01CT189,Failed,1,5000,5000
7252,2020-01-07,A01CT189,Successful,1,5000,5000
7861,2020-01-08,A01CT189,Failed,1,5000,5000
8179,2020-01-08,A01CT842,Successful,1,5000,3000
8400,2020-01-08,A01CT972,Successful,1,5000,5000
8660,2020-01-08,A03CT121,Failed,1,5000,5000
10698,2020-01-11,A02CT946,Failed,1,5000,5000
10732,2020-01-11,A03CT995,Failed,1,5000,5000
10734,2020-01-11,A03CT995,Failed,1,5000,5000
10741,2020-01-11,A03CT995,Failed,1,5000,5000
10750,2020-01-11,A03CT995,Failed,1,5000,5000
11302,2020-01-12,A03CT30,Failed,1,5000,5000
11477,2020-01-12,A03CT995,Failed,1,5000,5000
12868,2020-01-13,A01CT155,Successful,1,5000,5000
13314,2020-01-14,A03CT130,Failed,2,5000,5000
13526,2020-01-14,A02CT403,Successful,1,5000,5000
13689,2020-01-14,A02CT660,Successful,1,5000,5000
14619,2020-01-15,A02CT865,Failed,1,5000,5000
15735,2020-01-17,A02CT690,Successful,1,5000,5000
15840,2020-01-17,A01CT387,Failed,1,5000,5000
15842,2020-01-17,A01CT387,Failed,1,5000,5000
15843,2020-01-17,A01CT387,Failed,1,5000,5000
16211,2020-01-17,A01CT792,Failed,1,5000,5000
16619,2020-01-18,A03CT31,Failed,1,5000,5000
16962,2020-01-18,A01CT849,Successful,5,5000,5000
17886,2020-01-20,A02CT137,Successful,1,5000,5000
17951,2020-01-20,A03CT54,Failed,1,5000,5000
20774,2020-01-24,A03CT111,Successful,1,5000,5000
20882,2020-01-24,A03CT993,Failed,1,5000,5000
21015,2020-01-24,A03CT233,Successful,1,5000,5000
21707,2020-01-25,A01CT387,Successful,1,5000,5000
22071,2020-01-26,A01CT387,Successful,1,5000,5000
22139,2020-01-26,A01CT137,Failed,1,5000,5000
23583,2020-01-27,A03CT233,Failed,1,5000,5000
24117,2020-01-28,A01CT387,Successful,1,5000,5000
24231,2020-01-28,A03CT31,Successful,1,5000,5000
24303,2020-01-28,A01CT387,Failed,1,5000,5000
24304,2020-01-28,A01CT387,Successful,1,5000,5000
24850,2020-01-29,A01CT387,Successful,1,5000,5000
25211,2020-01-29,A01CT155,Failed,1,5000,5000
25212,2020-01-29,A01CT155,Successful,1,5000,5000
25662,2020-01-30,A01CT387,Successful,1,5000,5000
31832,2020-02-06,A02CT915,Successful,1,5000,5000
32117,2020-02-06,A03CT56,Failed,1,5000,5000
32118,2020-02-06,A03CT56,Failed,1,5000,5000
32132,2020-02-06,A03CT56,Failed,1,5000,5000
32685,2020-02-07,A03CT19,Successful,1,5000,5000
32995,2020-02-07,A03CT31,Failed,1,5000,5000
35354,2020-02-10,A03CT31,Successful,1,5000,5000
35922,2020-02-11,A03CT31,Successful,1,5000,5000
36002,2020-02-11,A03CT31,Successful,1,5000,5000
36069,2020-02-11,A01CT799,Failed,1,5000,5000
36227,2020-02-12,A01CT387,Successful,1,5000,5000
37031,2020-02-13,A01CT387,Successful,1,5000,5000
37688,2020-02-14,A01CT387,Successful,1,5000,5000
38004,2020-02-14,A01CT387,Successful,1,5000,5000
38236,2020-02-14,A03CT994,Successful,1,5000,5000
38365,2020-02-15,A02CT858,Successful,2,5000,5000
38641,2020-02-15,A03CT122,Successful,1,5000,5000
38868,2020-02-15,A03CT122,Successful,1,5000,5000
40257,2020-02-17,A03CT31,Failed,1,5000,5000
43269,2020-02-21,A03CT122,Successful,1,5000,5000
45052,2020-02-24,A03CT19,Successful,1,5000,5000
46079,2020-02-25,A03CT115,Failed,2,5000,5000
46087,2020-02-25,A03CT115,Failed,2,5000,5000
46298,2020-02-25,A03CT994,Successful,1,5000,5000
46307,2020-02-25,A03CT994,Failed,1,5000,5000
46321,2020-02-25,A03CT994,Successful,1,5000,5000
46450,2020-02-26,A03CT31,Failed,1,5000,5000
46452,2020-02-26,A03CT31,Failed,1,5000,5000
46878,2020-02-26,A03CT68,Successful,1,5000,5000
47445,2020-02-27,A01CT825,Successful,2,5000,5000
47767,2020-02-27,A01CT197,Failed,5,5000,5000
47769,2020-02-27,A01CT197,Failed,5,5000,5000
47784,2020-02-27,A03CT31,Successful,1,5000,5000
48268,2020-02-28,A01CT165,Failed,10,5000,5000
3634,2020-01-04,A01CT189,Failed,2,5010,4010
37491,2020-02-13,A03CT279,Successful,1,5600,5600
637,2020-01-01,A03CT34,Failed,1,6000,6000
657,2020-01-01,A03CT34,Failed,1,6000,6000
668,2020-01-01,A03CT34,Failed,1,6000,6000
744,2020-01-01,A03CT34,Failed,1,6000,6000
785,2020-01-01,A03CT34,Failed,1,6000,6000
787,2020-01-01,A03CT34,Failed,1,6000,6000
790,2020-01-01,A03CT34,Failed,1,6000,6000
2137,2020-01-02,A03CT34,Failed,1,6000,6000
3671,2020-01-04,A03CT18,Failed,1,6000,6000
4700,2020-01-04,A03CT34,Failed,1,6000,0
4831,2020-01-05,A03CT18,Failed,1,6000,0
6112,2020-01-06,A01CT222,Failed,4,6000,6000
7572,2020-01-07,A03CT34,Failed,1,6000,6000
7576,2020-01-07,A03CT34,Failed,1,6000,6000
7580,2020-01-07,A03CT34,Failed,1,6000,6000
7583,2020-01-07,A03CT34,Failed,1,6000,6000
8034,2020-01-08,A03CT18,Failed,1,6000,6000
8226,2020-01-08,A03CT34,Failed,1,6000,6000
8229,2020-01-08,A03CT34,Failed,1,6000,6000
8369,2020-01-08,A03CT34,Successful,1,6000,6000
8612,2020-01-08,A03CT34,Failed,1,6000,6000
9372,2020-01-09,A03CT34,Failed,1,6000,6000
10617,2020-01-11,A03CT34,Successful,1,6000,6000
12295,2020-01-13,A03CT18,Failed,1,6000,6000
12302,2020-01-13,A03CT30,Failed,1,6000,6000
14722,2020-01-15,A03CT34,Failed,1,6000,6000
16877,2020-01-18,A03CT50,Failed,1,6000,6000
17623,2020-01-19,A03CT38,Successful,1,6000,6000
17636,2020-01-19,A03CT34,Successful,2,6000,6000
18939,2020-01-21,A03CT93,Failed,1,6000,6000
19163,2020-01-21,A03CT34,Failed,1,6000,6000
21770,2020-01-25,A03CT233,Successful,1,6000,6000
22007,2020-01-25,A03CT34,Failed,1,6000,6000
22101,2020-01-26,A01CT842,Successful,1,6000,6000
24158,2020-01-28,A03CT233,Successful,1,6000,6000
24667,2020-01-29,A03CT53,Failed,1,6000,6000
24682,2020-01-29,A03CT53,Successful,1,6000,6000
25171,2020-01-29,A03CT34,Failed,1,6000,6000
25920,2020-01-30,A03CT34,Failed,1,6000,6000
26402,2020-01-31,A03CT34,Failed,1,6000,6000
27108,2020-02-01,A03CT53,Successful,1,6000,6000
27822,2020-02-01,A03CT53,Failed,1,6000,6000
27825,2020-02-01,A03CT53,Failed,1,6000,6000
27978,2020-02-01,A01CT920,Successful,1,6000,6000
28278,2020-02-02,A03CT45,Successful,1,6000,6000
29919,2020-02-04,A03CT16,Successful,1,6000,6000
30848,2020-02-05,A03CT93,Successful,3,6000,6000
31240,2020-02-05,A01CT261,Successful,10,6000,6000
32504,2020-02-07,A02CT913,Successful,1,6000,6000
32929,2020-02-07,A03CT34,Failed,1,6000,6000
34676,2020-02-10,A03CT130,Failed,3,6000,6000
34850,2020-02-10,A03CT90,Successful,1,6000,6000
35387,2020-02-10,A03CT34,Failed,1,6000,6000
35390,2020-02-10,A03CT34,Failed,1,6000,6000
35391,2020-02-10,A03CT34,Failed,1,6000,6000
35392,2020-02-10,A03CT34,Failed,1,6000,6000
36057,2020-02-11,A03CT122,Successful,1,6000,6000
36875,2020-02-12,A01CT920,Successful,1,6000,6000
38562,2020-02-15,A02CT913,Successful,1,6000,6000
40258,2020-02-17,A03CT31,Successful,1,6000,6000
40692,2020-02-17,A01CT920,Successful,1,6000,6000
41066,2020-02-18,A03CT31,Successful,1,6000,6000
41271,2020-02-18,A01CT804,Failed,2,6000,6000
41272,2020-02-18,A01CT804,Failed,2,6000,6000
41285,2020-02-18,A01CT804,Failed,2,6000,6000
41288,2020-02-18,A01CT804,Failed,2,6000,6000
41291,2020-02-18,A01CT804,Failed,2,6000,6000
41398,2020-02-18,A02CT530,Successful,1,6000,6000
43134,2020-02-21,A02CT467,Successful,2,6000,6000
44712,2020-02-23,A03CT10,Successful,1,6000,6000
44789,2020-02-23,A03CT52,Failed,1,6000,6000
45810,2020-02-25,A03CT53,Failed,1,6000,6000
46090,2020-02-25,A03CT130,Failed,3,6000,6000
46093,2020-02-25,A03CT130,Failed,3,6000,6000
46095,2020-02-25,A03CT130,Failed,3,6000,6000
46096,2020-02-25,A03CT130,Failed,3,6000,6000
46099,2020-02-25,A03CT130,Failed,3,6000,6000
46235,2020-02-25,A03CT68,Successful,1,6000,6000
46364,2020-02-25,A03CT34,Failed,1,6000,6000
46673,2020-02-26,A03CT233,Successful,1,6000,6000
47837,2020-02-28,A03CT24,Successful,1,6000,6000
48175,2020-02-28,A03CT130,Failed,3,6000,6000
48179,2020-02-28,A03CT130,Failed,3,6000,6000
48202,2020-02-28,A01CT387,Successful,1,6000,6000
24869,2020-01-29,A01CT372,Successful,2,6250,6250
42253,2020-02-20,A01CT372,Successful,1,6250,6250
39673,2020-02-16,A01CT268,Successful,1,6500,6500
44262,2020-02-23,A01CT953,Successful,10,6500,6500
898,2020-01-02,A02CT174,Successful,1,7000,7000
1012,2020-01-02,A03CT21,Failed,1,7000,7000
3551,2020-01-04,A02CT957,Successful,1,7000,7000
3675,2020-01-04,A03CT78,Failed,1,7000,7000
5060,2020-01-05,A02CT670,Failed,1,7000,7000
5067,2020-01-05,A02CT670,Failed,1,7000,7000
5106,2020-01-05,A02CT670,Successful,1,7000,7000
5302,2020-01-05,A03CT34,Successful,1,7000,7000
5317,2020-01-05,A03CT34,Successful,1,7000,1000
5354,2020-01-05,A03CT52,Failed,1,7000,3000
5769,2020-01-06,A02CT174,Successful,1,7000,7000
6482,2020-01-06,A02CT670,Successful,1,7000,7000
6679,2020-01-07,A03CT41,Failed,1,7000,7000
8232,2020-01-08,A03CT34,Successful,1,7000,7000
8613,2020-01-08,A03CT34,Successful,1,7000,7000
10435,2020-01-11,A03CT1000,Failed,1,7000,7000
10436,2020-01-11,A03CT1000,Failed,1,7000,7000
10556,2020-01-11,A03CT122,Failed,1,7000,7000
11013,2020-01-12,A03CT54,Successful,1,7000,7000
11353,2020-01-12,A03CT54,Failed,1,7000,7000
11356,2020-01-12,A03CT54,Failed,1,7000,7000
12019,2020-01-13,A03CT54,Failed,1,7000,7000
12824,2020-01-13,A02CT166,Successful,1,7000,7000
12924,2020-01-14,A02CT957,Failed,1,7000,7000
13117,2020-01-14,A03CT78,Failed,1,7000,7000
13121,2020-01-14,A03CT78,Failed,1,7000,7000
13123,2020-01-14,A03CT78,Failed,1,7000,7000
13341,2020-01-14,A02CT582,Successful,1,7000,7000
13614,2020-01-14,A02CT660,Failed,1,7000,7000
13619,2020-01-14,A02CT660,Failed,1,7000,7000
13648,2020-01-14,A02CT660,Failed,1,7000,7000
13661,2020-01-14,A02CT660,Failed,1,7000,7000
13681,2020-01-14,A02CT660,Failed,1,7000,7000
15053,2020-01-16,A02CT107,Failed,1,7000,7000
15095,2020-01-16,A01CT788,Failed,1,7000,7000
15290,2020-01-16,A03CT34,Successful,2,7000,7000
15481,2020-01-17,A03CT54,Successful,1,7000,7000
16159,2020-01-17,A01CT780,Successful,1,7000,7000
16505,2020-01-18,A02CT469,Successful,2,7000,7000
16844,2020-01-18,A03CT233,Failed,1,7000,7000
17159,2020-01-19,A03CT54,Successful,1,7000,7000
17571,2020-01-19,A03CT233,Successful,1,7000,7000
17768,2020-01-20,A02CT582,Successful,1,7000,7000
17808,2020-01-20,A03CT11,Successful,5,7000,7000
18375,2020-01-20,A02CT670,Successful,1,7000,7000
18534,2020-01-21,A03CT54,Successful,1,7000,7000
19476,2020-01-22,A03CT54,Successful,1,7000,7000
19769,2020-01-22,A01CT15,Failed,1,7000,7000
19771,2020-01-22,A01CT15,Failed,1,7000,7000
19887,2020-01-22,A01CT148,Failed,1,7000,7000
19889,2020-01-22,A01CT148,Failed,1,7000,7000
19890,2020-01-22,A01CT148,Failed,1,7000,7000
19892,2020-01-22,A01CT148,Failed,1,7000,7000
20126,2020-01-23,A03CT122,Successful,1,7000,7000
20327,2020-01-23,A03CT122,Successful,1,7000,7000
20674,2020-01-24,A01CT132,Successful,1,7000,7000
20701,2020-01-24,A03CT68,Successful,1,7000,7000
21509,2020-01-25,A03CT56,Successful,1,7000,7000
21956,2020-01-25,A01CT148,Failed,1,7000,7000
22263,2020-01-26,A03CT54,Successful,1,7000,7000
22647,2020-01-26,A03CT34,Successful,1,7000,7000
22832,2020-01-27,A02CT172,Successful,1,7000,7000
23075,2020-01-27,A03CT54,Successful,1,7000,7000
23279,2020-01-27,A03CT48,Successful,1,7000,7000
23496,2020-01-27,A02CT670,Failed,1,7000,7000
24003,2020-01-28,A03CT21,Failed,1,7000,7000
24006,2020-01-28,A03CT21,Failed,1,7000,7000
24177,2020-01-28,A01CT148,Failed,1,7000,7000
24585,2020-01-29,A01CT842,Successful,1,7000,7000
24723,2020-01-29,A03CT56,Successful,1,7000,7000
25480,2020-01-30,A03CT38,Failed,1,7000,7000
25512,2020-01-30,A03CT54,Successful,2,7000,7000
25647,2020-01-30,A03CT56,Successful,1,7000,7000
26089,2020-01-31,A03CT54,Failed,1,7000,7000
26401,2020-01-31,A03CT38,Failed,1,7000,7000
26403,2020-01-31,A03CT38,Failed,1,7000,7000
26701,2020-01-31,A03CT56,Failed,1,7000,7000
27094,2020-02-01,A03CT56,Failed,1,7000,7000
27130,2020-02-01,A03CT56,Successful,1,7000,7000
27306,2020-02-01,A01CT842,Successful,1,7000,7000
28071,2020-02-02,A01CT842,Successful,1,7000,7000
29772,2020-02-04,A01CT842,Successful,1,7000,7000
29982,2020-02-04,A03CT54,Successful,1,7000,7000
31509,2020-02-05,A03CT30,Failed,1,7000,7000
31711,2020-02-06,A03CT78,Failed,1,7000,7000
31725,2020-02-06,A03CT78,Failed,1,7000,7000
31727,2020-02-06,A03CT78,Failed,1,7000,7000
32461,2020-02-07,A03CT54,Successful,1,7000,7000
32890,2020-02-07,A03CT995,Failed,1,7000,7000
32893,2020-02-07,A03CT995,Failed,1,7000,7000
32897,2020-02-07,A03CT995,Failed,1,7000,7000
33317,2020-02-08,A03CT30,Failed,1,7000,7000
33391,2020-02-08,A02CT174,Successful,1,7000,7000
33450,2020-02-08,A03CT38,Failed,1,7000,7000
33506,2020-02-08,A01CT132,Failed,1,7000,7000
33921,2020-02-09,A01CT842,Successful,1,7000,7000
34249,2020-02-09,A01CT842,Successful,1,7000,7000
34653,2020-02-10,A01CT165,Failed,1,7000,7000
34822,2020-02-10,A01CT165,Failed,1,7000,7000
35296,2020-02-10,A03CT38,Successful,1,7000,7000
35477,2020-02-11,A01CT842,Successful,1,7000,7000
35747,2020-02-11,A02CT137,Successful,1,7000,7000
35755,2020-02-11,A03CT54,Successful,1,7000,7000
35955,2020-02-11,A03CT31,Successful,1,7000,7000
36250,2020-02-12,A01CT842,Successful,1,7000,7000
36453,2020-02-12,A02CT670,Successful,1,7000,7000
36465,2020-02-12,A03CT54,Successful,1,7000,7000
36559,2020-02-12,A03CT31,Successful,1,7000,7000
36885,2020-02-13,A01CT795,Failed,1,7000,7000
37695,2020-02-14,A01CT165,Failed,1,7000,7000
38313,2020-02-15,A03CT54,Successful,1,7000,7000
38649,2020-02-15,A02CT670,Successful,1,7000,7000
39702,2020-02-17,A02CT172,Failed,1,7000,7000
40283,2020-02-17,A01CT125,Failed,1,7000,7000
40327,2020-02-17,A01CT125,Failed,1,7000,7000
40398,2020-02-17,A02CT582,Successful,1,7000,7000
41314,2020-02-18,A03CT54,Failed,1,7000,7000
42146,2020-02-20,A01CT842,Failed,1,7000,7000
42549,2020-02-20,A03CT31,Failed,1,7000,7000
42552,2020-02-20,A03CT31,Successful,1,7000,7000
42717,2020-02-20,A02CT174,Successful,1,7000,7000
42750,2020-02-21,A02CT957,Successful,1,7000,7000
43210,2020-02-21,A01CT843,Successful,1,7000,7000
43341,2020-02-21,A02CT582,Successful,1,7000,7000
43488,2020-02-22,A03CT122,Successful,1,7000,7000
43717,2020-02-22,A02CT278,Successful,1,7000,7000
44308,2020-02-23,A02CT582,Successful,1,7000,7000
44647,2020-02-23,A02CT174,Successful,1,7000,7000
44743,2020-02-23,A03CT31,Failed,1,7000,7000
44745,2020-02-23,A03CT31,Failed,1,7000,7000
44753,2020-02-23,A03CT31,Successful,1,7000,7000
44786,2020-02-23,A02CT174,Successful,1,7000,7000
46675,2020-02-26,A03CT38,Failed,1,7000,7000
46999,2020-02-26,A03CT122,Successful,1,7000,7000
47137,2020-02-27,A03CT54,Successful,1,7000,7000
47396,2020-02-27,A03CT122,Successful,1,7000,7000
47747,2020-02-27,A03CT90,Successful,1,7000,7000
48092,2020-02-28,A01CT165,Failed,1,7000,7000
48252,2020-02-28,A01CT842,Successful,1,7000,7000
9383,2020-01-09,A01CT209,Failed,4,7200,7200
30799,2020-02-05,A01CT988,Failed,1,7200,7200
10371,2020-01-11,A01CT953,Failed,15,7500,7500
17370,2020-01-19,A03CT70,Failed,1,7500,7500
27454,2020-02-01,A03CT115,Successful,3,7500,7500
31473,2020-02-05,A03CT36,Successful,3,7500,7500
31474,2020-02-05,A03CT36,Failed,3,7500,7500
31481,2020-02-05,A01CT129,Successful,1,7500,7500
44044,2020-02-22,A03CT70,Failed,1,7500,7500
44813,2020-02-23,A01CT162,Failed,1,7500,7500
47255,2020-02-27,A01CT144,Successful,2,7500,7500
3134,2020-01-03,A01CT123,Failed,5,7750,7750
28012,2020-02-02,A01CT372,Successful,2,7750,7750
412,2020-01-01,A02CT582,Failed,1,8000,8000
522,2020-01-01,A02CT582,Failed,1,8000,8000
1220,2020-01-02,A02CT898,Failed,1,8000,8000
1233,2020-01-02,A02CT898,Successful,1,8000,8000
1642,2020-01-02,A03CT70,Failed,1,8000,8000
1658,2020-01-02,A03CT70,Failed,1,8000,8000
3234,2020-01-03,A03CT34,Successful,1,8000,8000
3469,2020-01-03,A02CT519,Successful,1,8000,8000
4778,2020-01-04,A02CT940,Successful,1,8000,8000
5239,2020-01-05,A03CT50,Successful,1,8000,8000
5704,2020-01-05,A03CT66,Successful,1,8000,8000
6043,2020-01-06,A02CT582,Successful,2,8000,8000
6632,2020-01-06,A03CT66,Failed,1,8000,8000
6960,2020-01-07,A01CT316,Failed,1,8000,8000
7500,2020-01-07,A03CT34,Successful,1,8000,8000
7681,2020-01-07,A03CT59,Failed,1,8000,8000
7697,2020-01-07,A01CT148,Successful,1,8000,8000
7954,2020-01-08,A02CT678,Successful,2,8000,8000
7992,2020-01-08,A02CT965,Successful,2,8000,8000
8546,2020-01-08,A03CT126,Successful,1,8000,8000
8699,2020-01-09,A03CT75,Failed,1,8000,8000
8700,2020-01-09,A03CT75,Successful,1,8000,8000
8705,2020-01-09,A02CT174,Successful,1,8000,8000
9646,2020-01-10,A03CT75,Successful,1,8000,8000
9798,2020-01-10,A03CT70,Successful,1,8000,8000
10756,2020-01-11,A03CT996,Failed,1,8000,8000
10930,2020-01-12,A02CT403,Failed,1,8000,8000
10953,2020-01-12,A02CT403,Successful,1,8000,8000
11628,2020-01-12,A02CT171,Successful,1,8000,8000
11644,2020-01-12,A03CT66,Failed,1,8000,8000
11823,2020-01-12,A02CT582,Failed,1,8000,8000
11906,2020-01-13,A02CT404,Successful,1,8000,8000
11911,2020-01-13,A02CT404,Successful,1,8000,8000
12757,2020-01-13,A02CT582,Successful,1,8000,8000
12884,2020-01-13,A02CT519,Failed,1,8000,8000
12886,2020-01-13,A02CT519,Failed,1,8000,8000
13242,2020-01-14,A03CT66,Failed,1,8000,8000
14777,2020-01-16,A02CT403,Successful,1,8000,8000
14784,2020-01-16,A02CT403,Failed,1,8000,8000
14785,2020-01-16,A02CT403,Failed,1,8000,8000
15588,2020-01-17,A02CT582,Successful,1,8000,8000
15910,2020-01-17,A03CT59,Failed,1,8000,8000
16346,2020-01-18,A03CT996,Failed,2,8000,8000
16489,2020-01-18,A01CT842,Successful,1,8000,8000
16936,2020-01-18,A02CT519,Successful,1,8000,8000
16944,2020-01-18,A02CT403,Successful,1,8000,8000
16946,2020-01-18,A01CT148,Failed,1,8000,8000
16947,2020-01-18,A01CT148,Failed,1,8000,8000
16949,2020-01-18,A01CT148,Failed,1,8000,8000
16952,2020-01-18,A01CT148,Successful,1,8000,8000
17182,2020-01-19,A02CT720,Successful,1,8000,8000
18034,2020-01-20,A03CT70,Failed,1,8000,8000
18150,2020-01-20,A01CT796,Failed,1,8000,8000
18353,2020-01-20,A03CT66,Successful,1,8000,8000
18441,2020-01-20,A02CT519,Successful,1,8000,8000
18455,2020-01-20,A03CT66,Failed,1,8000,8000
19381,2020-01-22,A03CT56,Failed,2,8000,8000
19515,2020-01-22,A03CT53,Failed,1,8000,8000
19774,2020-01-22,A03CT66,Successful,1,8000,8000
20054,2020-01-23,A03CT13,Successful,1,8000,8000
20547,2020-01-23,A03CT36,Successful,5,8000,8000
20818,2020-01-24,A03CT78,Failed,1,8000,8000
20883,2020-01-24,A02CT582,Successful,2,8000,8000
20978,2020-01-24,A03CT94,Successful,4,8000,8000
21101,2020-01-24,A03CT70,Successful,1,8000,8000
21226,2020-01-24,A03CT66,Failed,1,8000,8000
21228,2020-01-24,A03CT66,Failed,1,8000,8000
21230,2020-01-24,A03CT66,Failed,1,8000,8000
21233,2020-01-24,A03CT66,Successful,1,8000,8000
21310,2020-01-24,A02CT680,Failed,1,8000,8000
21311,2020-01-24,A02CT680,Failed,1,8000,8000
21954,2020-01-25,A03CT70,Successful,1,8000,8000
22276,2020-01-26,A03CT66,Failed,1,8000,8000
22505,2020-01-26,A03CT129,Successful,1,8000,8000
23526,2020-01-27,A02CT458,Successful,2,8000,8000
23754,2020-01-27,A03CT66,Failed,1,8000,8000
24411,2020-01-28,A03CT34,Successful,1,8000,8000
25047,2020-01-29,A03CT127,Failed,1,8000,8000
25133,2020-01-29,A03CT34,Successful,1,8000,8000
25175,2020-01-29,A01CT181,Successful,3,8000,8000
25287,2020-01-30,A01CT165,Failed,7,8000,8000
25742,2020-01-30,A03CT34,Successful,1,8000,8000
26071,2020-01-31,A03CT19,Failed,2,8000,8000
26091,2020-01-31,A03CT66,Failed,1,8000,8000
26456,2020-01-31,A03CT66,Failed,1,8000,8000
26495,2020-01-31,A03CT66,Failed,1,8000,8000
26497,2020-01-31,A03CT70,Failed,1,8000,8000
26518,2020-01-31,A03CT111,Failed,1,8000,8000
26542,2020-01-31,A03CT111,Successful,1,8000,8000
